SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
AMARAJABAT, EQ, 07-Feb-2019, 783.40, 785.00, 795.00, 779.20, 784.10, 783.00, 789.36, 331461, 2616.41, 12241, 79584, 24.01
AMBER, EQ, 07-Feb-2019, 693.05, 680.80, 720.00, 680.80, 715.70, 703.55, 699.75, 2800, 19.59, 644, 2313, 82.61
AMBIKCO, EQ, 07-Feb-2019, 1133.50, 1143.85, 1145.00, 1134.00, 1145.00, 1138.65, 1140.19, 1092, 12.45, 115, 763, 69.87
AMBUJACEM, EQ, 07-Feb-2019, 214.50, 214.05, 218.60, 213.50, 215.50, 214.95, 216.07, 1560735, 3372.32, 15652, 511379, 32.77
AMDIND, EQ, 07-Feb-2019, 18.65, 19.90, 21.90, 19.00, 19.45, 20.05, 20.16, 16861, 3.40, 153, 4979, 29.53
AMJLAND, EQ, 07-Feb-2019, 18.70, 18.70, 19.45, 18.25, 19.25, 19.25, 18.67, 9183, 1.71, 68, 7073, 77.02
AMRUTANJAN, EQ, 07-Feb-2019, 311.20, 311.70, 317.80, 310.50, 311.00, 312.00, 314.12, 14468, 45.45, 1017, 8049, 55.63
ANANTRAJ, EQ, 07-Feb-2019, 31.10, 31.10, 31.60, 30.70, 31.00, 31.10, 31.19, 183275, 57.17, 844, 93182, 50.84
ANDHRABANK, EQ, 07-Feb-2019, 24.25, 24.45, 24.70, 24.10, 24.55, 24.45, 24.48, 506172, 123.89, 1799, 189347, 37.41
ANDHRACEMT, EQ, 07-Feb-2019, 3.80, 3.75, 4.10, 3.60, 4.05, 4.00, 3.92, 104941, 4.11, 173, 76702, 73.09
ANDHRSUGAR, EQ, 07-Feb-2019, 319.30, 319.00, 325.00, 315.55, 317.50, 318.65, 318.30, 22645, 72.08, 888, 10988, 48.52
ANGIND, BE, 07-Feb-2019, 1.10, 1.15, 1.15, 1.15, 1.15, 1.15, 1.15, 2883, 0.03, 12, -, -
ANIKINDS, EQ, 07-Feb-2019, 15.05, 15.00, 15.90, 13.70, 14.20, 14.30, 14.53, 10359, 1.51, 112, 6972, 67.30
ANKITMETAL, BE, 07-Feb-2019, 0.40, 0.45, 0.55, 0.45, 0.55, 0.55, 0.51, 114804, 0.58, 64, -, -
ANSALAPI, EQ, 07-Feb-2019, 9.90, 10.05, 10.35, 9.60, 10.35, 10.10, 10.06, 104877, 10.55, 388, 58373, 55.66
ANSALHSG, EQ, 07-Feb-2019, 10.90, 10.80, 10.95, 10.30, 10.50, 10.50, 10.55, 135311, 14.28, 552, 61582, 45.51
ANTGRAPHIC, BE, 07-Feb-2019, 0.50, 0.45, 0.50, 0.45, 0.50, 0.50, 0.47, 57654, 0.27, 24, -, -
APARINDS, EQ, 07-Feb-2019, 612.85, 605.10, 626.25, 605.05, 625.00, 622.60, 619.43, 2989, 18.51, 256, 2059, 68.89
APCL, EQ, 07-Feb-2019, 99.60, 101.05, 106.30, 101.05, 104.90, 104.90, 103.42, 1898, 1.96, 44, 1477, 77.82
APCOTEXIND, EQ, 07-Feb-2019, 457.95, 458.20, 467.95, 437.00, 437.00, 445.35, 453.49, 5503, 24.96, 322, 3647, 66.27
APEX, EQ, 07-Feb-2019, 306.90, 306.00, 328.50, 304.00, 311.95, 311.70, 317.42, 81687, 259.29, 3368, 25911, 31.72
APLAPOLLO, EQ, 07-Feb-2019, 1093.20, 1076.00, 1116.95, 1076.00, 1100.00, 1101.50, 1098.71, 3197, 35.13, 407, 1865, 58.34
APLLTD, EQ, 07-Feb-2019, 579.65, 582.20, 584.70, 570.50, 573.45, 574.05, 577.72, 13456, 77.74, 2800, 8025, 59.64
APOLLO, EQ, 07-Feb-2019, 99.60, 101.00, 101.00, 99.00, 99.45, 99.30, 99.78, 16568, 16.53, 550, 11417, 68.91
APOLLOHOSP, EQ, 07-Feb-2019, 1304.05, 1304.05, 1319.00, 1290.10, 1299.75, 1295.85, 1299.57, 305098, 3964.95, 20665, 158507, 51.95
APOLLOTYRE, EQ, 07-Feb-2019, 199.15, 199.80, 208.60, 197.50, 206.25, 207.45, 205.25, 3735779, 7667.61, 29120, 945269, 25.30
APOLSINHOT, BE, 07-Feb-2019, 917.00, 893.20, 938.00, 893.20, 929.90, 925.45, 914.14, 106, 0.97, 15, -, -
APTECHT, EQ, 07-Feb-2019, 164.40, 165.00, 170.40, 162.30, 163.75, 163.80, 166.53, 263602, 438.98, 4851, 66883, 25.37
ARCHIDPLY, EQ, 07-Feb-2019, 37.35, 37.45, 38.20, 36.95, 36.95, 37.05, 37.39, 3708, 1.39, 111, 2797, 75.43
ARCHIES, EQ, 07-Feb-2019, 27.35, 27.20, 27.90, 26.95, 27.70, 27.55, 27.35, 45194, 12.36, 412, 24664, 54.57
ARCOTECH, EQ, 07-Feb-2019, 5.05, 5.00, 5.15, 4.80, 4.90, 4.80, 4.85, 139189, 6.75, 284, 116901, 83.99
ARIES, EQ, 07-Feb-2019, 88.25, 88.05, 90.00, 87.15, 88.85, 89.35, 89.22, 12734, 11.36, 318, 7055, 55.40
ARIHANT, EQ, 07-Feb-2019, 29.50, 31.00, 31.00, 29.50, 30.85, 30.85, 30.19, 2241, 0.68, 5, 21, 0.94
ARIHANTSUP, EQ, 07-Feb-2019, 48.10, 47.05, 50.00, 47.05, 49.50, 49.25, 49.23, 15927, 7.84, 214, 1648, 10.35
ARMANFIN, EQ, 07-Feb-2019, 378.35, 385.85, 389.80, 374.05, 388.00, 387.45, 381.06, 1851, 7.05, 74, 1408, 76.07
AROGRANITE, EQ, 07-Feb-2019, 48.10, 47.85, 49.70, 47.35, 47.60, 47.65, 47.74, 6362, 3.04, 82, 3988, 62.68
ARROWGREEN, BE, 07-Feb-2019, 87.35, 87.00, 91.00, 83.00, 84.00, 84.00, 84.68, 16389, 13.88, 209, -, -
ARROWTEX, EQ, 07-Feb-2019, 14.95, 14.90, 15.00, 13.75, 15.00, 14.75, 14.56, 19319, 2.81, 191, 11648, 60.29
ARSHIYA, EQ, 07-Feb-2019, 28.25, 28.25, 29.45, 28.20, 28.80, 28.90, 28.82, 50977, 14.69, 673, 34764, 68.20
ARSSINFRA, EQ, 07-Feb-2019, 28.60, 27.60, 30.10, 27.60, 29.00, 29.25, 29.77, 26060, 7.76, 103, 23442, 89.95
ARVIND, EQ, 07-Feb-2019, 83.30, 83.50, 85.90, 78.10, 81.40, 81.50, 81.61, 5265164, 4297.00, 31803, 363829, 6.91
ARVSMART, EQ, 07-Feb-2019, 115.75, 116.95, 117.80, 114.00, 114.00, 115.00, 115.76, 14822, 17.16, 373, 10365, 69.93
ASAHIINDIA, EQ, 07-Feb-2019, 255.65, 255.10, 256.80, 255.00, 255.00, 255.10, 255.58, 5570, 14.24, 122, 3768, 67.65
ASAHISONG, EQ, 07-Feb-2019, 164.15, 163.50, 163.90, 154.00, 154.50, 156.15, 157.64, 10509, 16.57, 500, 7735, 73.60
ASAL, EQ, 07-Feb-2019, 50.55, 50.55, 53.00, 50.55, 52.50, 52.50, 52.09, 7168, 3.73, 77, 5792, 80.80
ASHAPURMIN, EQ, 07-Feb-2019, 21.15, 21.10, 21.40, 19.80, 20.55, 20.70, 20.76, 96946, 20.13, 660, 42499, 43.84
ASHIANA, EQ, 07-Feb-2019, 108.15, 109.25, 109.80, 105.20, 107.00, 106.20, 106.80, 15868, 16.95, 505, 11534, 72.69
ASHIMASYN, BE, 07-Feb-2019, 12.00, 11.80, 12.60, 11.80, 12.60, 12.60, 12.51, 7035, 0.88, 29, -, -
ASHOKA, EQ, 07-Feb-2019, 116.95, 117.15, 119.65, 116.35, 117.80, 117.20, 118.05, 50056, 59.09, 885, 24083, 48.11
